GroupLabel,Condition,C1,C2,C3,C4,C5,C6,O7,O8,Process Score,Outcome Score,Total Score
Group 0,NoAI,0,1,0,1,1,1,1,1,4,2,6
Group 0,AI,0,1,0,1,1,1,1,1,4,2,6
Group 1,NoAI,0,1,1,1,1,1,1,0,5,1,6
Group 1,AI,0,1,0,1,1,1,1,1,4,1,5
Group 2,NoAI,0,0,0,1,1,0,1,1,2,2,4
Group 2,AI,0,1,0,1,1,1,1,1,4,2,6
Group 3,NoAI,0,1,1,1,1,1,1,1,5,2,7
Group 3,AI,0,1,1,1,1,1,0,1,5,1,6
Group 4,NoAI,0,0,1,1,1,1,1,0,4,1,5
Group 4,AI,0,0,1,1,1,1,1,0,4,1,5
Group 5,NoAI,0,1,1,1,1,1,1,0,5,1,6
Group 5,AI,0,1,1,1,1,1,0,0,5,0,5
Group 6,NoAI,1,0,1,0,0,0,1,0,2,1,3
Group 6,AI,0,1,1,0,1,0,1,0,3,1,4
Group 7,NoAI,0,1,0,1,1,0,1,1,3,2,5
Group 7,AI,0,1,1,1,1,1,1,1,5,2,7
Group 8,NoAI,0,1,1,1,1,1,0,0,0,0,5
Group 8,AI,0,1,1,1,1,1,0,0,0,0,5
Group 9,NoAI,0,1,0,1,1,1,1,0,4,1,5
Group 9,AI,0,1,0,1,1,0,0,0,3,0,3
Group 10,NoAI,0,0,0,0,1,0,0,1,1,1,2
Group 10,AI,0,0,0,0,1,1,0,1,2,1,3
Group 11,NoAI,0,1,1,1,1,1,0,0,5,0,5
Group 11,AI,0,1,0,1,1,1,0,0,4,0,4
